v,R,c,k,max_tilt,final_tilt,max_omega
5.0,120.0,120.0,2000.0,0.0919178150401081,0.056733155642722,0.12982141127879335
5.0,120.0,120.0,2500.0,0.07445378002209153,0.03790141197815492,0.11759619147090226
5.0,120.0,120.0,3000.0,0.06262196110510299,0.037856860116757,0.10837045602373291
5.0,120.0,120.0,3500.0,0.054077169939245974,0.02729187413145699,0.1010923531053943
7.857142857142858,20.0,30.0,1500.0,1.981532041380882,0.583974029838855,2.426738822172992
7.857142857142858,20.0,30.0,2000.0,1.4933158968552875,1.1946769641074826,2.11242452299891
7.857142857142858,20.0,30.0,2500.0,1.1986886120108542,0.2851845993982314,1.8952808472649396
7.857142857142858,20.0,30.0,3000.0,1.0015723776344563,0.7957120392907605,1.7347147735942021
7.857142857142858,20.0,30.0,3500.0,0.8602461106057648,0.2094375384880977,1.6094619676939461
7.857142857142858,20.0,52.5,1500.0,1.9279729946304194,0.7527808039828463,2.361103218578654
7.857142857142858,20.0,52.5,2000.0,1.4580172155825921,1.0410811567620004,2.0624724475352734
7.857142857142858,20.0,52.5,2500.0,1.1732257151881162,0.40469886869927896,1.8553059622025374
7.857142857142858,20.0,52.5,3000.0,0.9820445444025129,0.6939331947866503,1.701094755960138
7.857142857142858,20.0,52.5,3500.0,0.8446747797375278,0.2943564054863721,1.5796544429368007
7.857142857142858,20.0,75.0,1500.0,1.8773161900752733,0.8589932281781991,2.297924500351043
7.857142857142858,20.0,75.0,2000.0,1.4243796942847482,0.9430829596272445,2.014174519569333
7.857142857142858,20.0,75.0,2500.0,1.1488532777274039,0.48114797789891434,1.8165292339926544
7.857142857142858,20.0,75.0,3000.0,0.9632653052890539,0.6289489764972688,1.6684060235611697
7.857142857142858,20.0,75.0,3500.0,0.8296617976472123,0.34839275748033977,1.5511272304714319
7.857142857142858,20.0,97.5,1500.0,1.8293383947588113,0.9255286021283441,2.2373398300379965
7.857142857142858,20.0,97.5,2000.0,1.3924136124034698,0.8805122929513628,1.9674541170353237
7.857142857142858,20.0,97.5,2500.0,1.1255128541846178,0.5301346588139961,1.7788961705136899
7.857142857142858,20.0,97.5,3000.0,0.9451993161384914,0.5874325802132007,1.6366133027757566
7.857142857142858,20.0,97.5,3500.0,0.8151810885815434,0.382639349299748,1.5241523994622055
7.857142857142858,20.0,120.0,1500.0,1.7838479618531748,0.9670382043835803,2.1805286475278396
7.857142857142858,20.0,120.0,2000.0,1.3619195516670057,0.8405808320126111,1.9234708014919368
7.857142857142858,20.0,120.0,2500.0,1.103146526737974,0.5615589183868638,1.7423579641151874
7.857142857142858,20.0,120.0,3000.0,0.9278147937651239,0.5609045738506293,1.605679343956324
7.857142857142858,20.0,120.0,3500.0,0.801209645618155,0.4043782204148446,1.4978471366491215
7.857142857142858,34.285714285714285,30.0,1500.0,1.1558934595025767,0.3406514582215013,1.41559808320113
7.857142857142858,34.285714285714285,30.0,2000.0,0.8711009384387467,0.6968948694950008,1.232247768323312
7.857142857142858,34.285714285714285,30.0,2500.0,0.6992350428573902,0.16635804555099495,1.1055804815664145
7.857142857142858,34.285714285714285,30.0,3000.0,0.5842507375527154,0.46416552440532083,1.011916820506171
7.857142857142858,34.285714285714285,30.0,3500.0,0.5018104566973394,0.12217046869256051,0.9388526474313019
7.857142857142858,34.285714285714285,52.5,1500.0,1.1246500537973978,0.4391226485227724,1.3773110665375923
